user_id,review_count,average_stars,fans,yelping_since_year,friends_count,elite_count,group
B3xwUPXMlCb7_5IEDlq4Uw,8,3.89,0,6,97,0,1
Pc5vc0RuoCa8YU6hD-y3Ow,8,4.25,0,9,1,0,1
dz1RKDdHziTy0uw7VtXeXQ,1,1,0,3,63,0,1
6OmHL9dwt5RmKwhGFgjvAA,2,5,0,7,32,0,1
tGbVIKlZAPGrt3VjTn7gRA,5,4.5,0,5,47,0,1
0EocYOZhpDTYqqO_uYbw5A,15,4.67,1,7,78,0,1
W_V8_Id9tpOcZAG1hxcLxg,2,1.5,0,7,55,0,1
1x_2iGnd7j5jcB7VjmFZvQ,2,5,0,10,57,0,1
6Gu9vLSSuo9N5o3xRQcO5g,2,3,0,9,38,0,1
ucj0RT3ZsWHFXQssLq-wmQ,148,3.97,7,8,128,2,1
_a7BES74d_thQfpNBuk8Gw,1,5,0,3,79,0,1
jhpYtJj6mijxNGWRARt7ew,34,4.21,3,8,29,0,1
pxNqVoIR6jmq9iRofZlWHg,26,4,1,7,17,1,1
hP3rxCq8ehdHhNRMiqHm8g,1,4,0,7,13,0,1
FWdE42RE3Iw5J6nGpwPrGQ,4,4.5,1,6,34,0,1
oT9xtXushAFZk3kxbQ921A,6,2.67,0,4,20,0,1
DCW6q3f_dp7js3rJnt5qpw,35,4.88,0,7,65,0,1
PUlzNLNkXdiNacqM9-aiNA,179,3.22,14,7,200,2,1
QQNL-E-gdngVI6WklZmwjQ,4,3.5,0,4,37,0,1
BDtYwdjAvjlE5JftlTVgEg,33,3.34,2,6,27,0,1
LJYX_FxiaudA38sZ9bY8bg,11,2,0,4,32,0,1
E4SGh8tQPgQyShyfzdTiSw,9,4.67,0,7,143,0,1
D2_gTyhIJYi_fcWl_YsGxg,2,4,0,5,116,0,1
Oqa4MoR-8xxKmQBIEdwT2g,91,4.37,5,9,8,3,1
61_I08pvZFTyz4V-RLWfaQ,1,5,0,7,10,0,1
iFwx8TYRc2soj0FZ4P5wRA,1,5,0,4,29,0,1
4qZQbroPWUiK46f3FaG-fw,5,4.2,0,7,2,0,1
XE5haHcvFyrKvLbuBf7K6g,3,4.67,0,8,12,0,1
exzIgEZgAW8vrjTNdiIrsw,4,2,0,3,19,0,1
Tz4kQp5cBI9dMnlP22BGYQ,6,3.67,0,6,21,0,1
_9Ndt4kt_LTnubss5lMFjQ,11,4,1,5,1,0,1
wxz2JGtYi-WfZ2y_8rFUaw,4,4.25,0,7,72,0,1
BLbsbggo3xeo_-4n_GlnLg,1,5,0,5,26,0,1
